"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"REGION VII AREA AGENCY ON AGING","Sunrise PACE","H9052","National PACE","National PACE","11/01/2021","Not-for-Profit/Non-Profit","Region VII Area Agency on Aging, Inc.","Atlanta","92","1615 South Euclid Avenue","","Bay City","MI","48706","IT Manager","Rusho","Sherry","","1-989-893-4506","","","rushos@region7aaa.org","1615 S. Euclid","","Bay City","MI","48706","11/12/2024"
"REID HOSPITAL & HEALTH CARE SERVICES, INC.","Reid Health PACE Center","H3522","National PACE","National PACE","10/01/2020","Not-for-Profit/Non-Profit","Reid Hospital & Health Care Services, Inc.","New York","99","1100 Reid Parkway","","Richmond","IN","47374","Vice President, Ambulator","Kester","Billie","","1-765-983-8542","","","billie.kester@reidhealth.org","1100 Reid Parkway, Administration","","Richmond","IN","47374","03/04/2025"
"RENAL PAYER SOLUTIONS INC","Champion Health Plan","H6474","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","Champion Health Plans-USA, LLC.","Dallas","28","19700 Fairchild Road, Suite 230","","Irvine","CA","92612","VP","Reed","Mechelle","","1-800-885-8000","","1-949-998-9856","claims@championpayer.com","5000 Airport Plaza Drive","Suite 100","Long Beach","CA","90815","04/16/2025"
"ROCKY MOUNTAIN HEALTH CARE SERVICES","Rocky Mountain PACE","H5167","National PACE","National PACE","12/01/2008","Not-for-Profit/Non-Profit","Rocky Mountain Health Care Services","Dallas","1,008","8595 Explorer Drive","","Colorado Springs","CO","80920","Chief Growth Officer","Kerr","Melissa","","1-719-466-8777","624","","mkerr@rmhcare.org","8595 Explorer Dr","","Colorado Springs","CO","80920","04/07/2025"
"ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC","UnitedHealthcare","H2582","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","UnitedHealth Group, Inc.","Boston","10,189","9800 Health Care Lane","","Minnetonka","MN","55343","","Customer Service","UHC","","1-800-643-4845","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","05/21/2025"
"SAINT JOSEPH PACE","Saint Joseph PACE","H9842","National PACE","National PACE","08/01/2016","Not-for-Profit/Non-Profit","Trinity Health Corporation","Chicago","168","250 E. Day Rd","","Mishawaka","IN","46545","Executive Director","Huegel","Lori Anne","","1-574-247-8763","","","lorianne.huegel@trinity-health.org","250 E. Day Rd.","","Mishawaka","IN","46545","11/17/2022"
"SAMARITAN HEALTH PLANS, INC.","Samaritan Advantage Health Plans","H3811","Local CCP","HMO/HMOPOS","06/01/2005","Not-for-Profit/Non-Profit","Samaritan Health Services, Inc.","Chicago","13,954","2300 NW Walnut Blvd","","CORVALLIS","OR","97330","Manager - SHP Business De","Crayk","Janice","","1-541-768-5192","","","Jcrayk@samhealth.org","2300 NW Walnut Blvd","","Corvallis","OR","97330","10/10/2023"
"SAN MATEO HEALTH COMMISSION","HEALTH PLAN OF SAN MATEO","H6019","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","Health Plan of San Mateo","New York","8,389","801 Gateway Blvd","Suite 100","South San Francisco","CA","94080","","Unit","Compliance","","1-650-616-0050","","1-650-616-0060","compliance@hpsm.org","801 Gateway Blvd","Suite 100","South San Francisco","CA","94080","02/03/2022"
"SANFORD HEALTH PLAN","Great Plains Medicare Advantage","H8967","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Sanford Health","Dallas","290","300 Cherapa Place, Suite 201","","Sioux Falls","SD","57103","Senior Director of Regula","Jansick","Aleesa","","1-605-328-7182","","","Aleesa.Jansick@SanfordHealth.org","4800 West 57th Street","","Sioux Falls","SD","57108","08/28/2024"
"SANFORD HEALTH PLAN","Align powered by Sanford Health Plan","H8385","Local CCP","Local PPO","01/01/2022","Not-for-Profit/Non-Profit","Sanford Health","Dallas","6,757","4800 W 57th St","","Sioux Falls","SD","57108","Senior Director of Regula","Jansick","Aleesa","","1-605-328-7182","","","Aleesa.Jansick@SanfordHealth.org","4800 West 57th Street","","Sioux Falls","SD","57108","08/20/2024"
"SANFORD HEALTH PLAN","Great Plains Medicare Advantage","H1787","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Sanford Health","Dallas","316","4800 W 57th St","","Sioux Falls","SD","57108","Senior Director of Regula","Jansick","Aleesa","","1-605-328-7182","","","Aleesa.Jansick@SanfordHealth.org","4800 West 57th Street","","Sioux Falls","SD","57108","08/28/2024"
"SANFORD HEALTH PLAN OF MINNESOTA","Align powered by Sanford Health Plan","H3186","Local CCP","Local PPO","01/01/2022","Not-for-Profit/Non-Profit","Sanford Health","Dallas","1,643","1600 N. Kniss","","Luverne","MN","56156","Senior Director of Regula","Jansick","Aleesa","","1-605-328-7182","","","Aleesa.Jansick@SanfordHealth.org","4800 West 57th Street","","Sioux Falls","SD","57108","08/28/2024"
"SANTA CLARA COUNTY HEALTH AUTHORITY","Santa Clara Family Health Plan","H4045","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","SANTA CLARA COUNTY HEALTH AUTHORITY","Boston","11,293","6201 San Ignacio Ave","","San Jose","CA","95119","","Services","Customer","","1-877-723-4795","","1-408-874-1965","callcentermanagement@scfhp.com","6201 San Ignacio Ave","","San Jose","CA","95119","03/26/2024"
"SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","H8181","Local CCP","Local PPO","01/01/2020","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Nebraska","Chicago","17,010","1919 Aksarben Dr","","Omaha","NE","68180","Manager, Provider Service","Trice","Ashley","","1-402-982-7000","","","Ashley.Trice@nebraskablue.com","1919 Aksarben Dr","","Omaha","NE","68180","09/09/2024"
"SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","H3170","Local CCP","HMO/HMOPOS","01/01/2017","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Nebraska","Chicago","3,274","1919 Aksarben Dr","","Omaha","NE","68180","Manager, Provider Service","Trice","Ashley","","1-402-982-7000","","","Ashley.Trice@nebraskablue.com","1919 Aksarben Dr","","Omaha","NE","68180","01/23/2024"
"SCAN DESERT HEALTH PLAN, INC.","SCAN Health Plan","H1822","Local CCP","HMO/HMOPOS","01/01/2022","Not-for-Profit/Non-Profit","SCAN Group","Chicago","3,411","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","01/19/2021"
"SCAN HEALTH PLAN","VillageHealth","H5943","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","SCAN Group","Chicago","658","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/03/2020"
"SCAN HEALTH PLAN","SCAN Health Plan","H0976","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","SCAN Group","Chicago","20,902","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/06/2023"
"SCAN HEALTH PLAN","SCAN Health Plan","H5425","Local CCP","HMO/HMOPOS","05/01/2005","Not-for-Profit/Non-Profit","SCAN Group","Chicago","278,005","3800 Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/03/2020"
"SCAN HEALTH PLAN (NM)","SCAN Health Plan","H5244","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","SCAN Group","Chicago","286","3800 Kilroy Airport Way, Suite 100","","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/06/2023"
"SCAN HEALTH PLAN NEVADA, INC.","SCAN Health Plan","H0978","Local CCP","HMO/HMOPOS","01/01/2022","Not-for-Profit/Non-Profit","SCAN Group","Chicago","2,156","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","01/19/2021"
"SCAN HEALTH PLAN TEXAS, INC.","SCAN Health Plan","H8902","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","SCAN Group","Chicago","479","3800 Kilroy Airport Way, Suite 100","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","12/17/2021"
"SCOTT AND WHITE HEALTH PLAN","Baylor Scott & White Health Plan","H8142","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Baylor Scott & White Health","Denver","33,428","1206 West Campus Drive","","Temple","TX","76502","Compliance Officer","Cornett","Amy","","1-254-298-3211","","","Amy.Cornett@BSWHealth.org","1206 West Campus Drive","","Temple","TX","76502","07/26/2024"
"SECUR INC","SECUR Health Plan","H3048","Local CCP","HMO/HMOPOS","01/01/2025","For Profit","Chapters CareNu Inc","New York","179","4200 West Cypress Street","Suite 690","Tampa","FL","33607","IT Director","Kamsler","Daniel","","1-813-357-5361","","","kamsled@carenu.com","4200 West Cypress Street","Suite 690","Tampa","FL","33607","01/24/2025"
"SECURITY HEALTH PLAN OF WISCONSIN, INC.","Security Health Plan of Wisconsin, Inc.","H5211","Local CCP","HMO/HMOPOS","08/01/2002","Not-for-Profit/Non-Profit","Marshfield Clinic Health System, Inc.","Dallas","70,142","1515 SAINT JOSEPH AVENUE","PO Box 8000","MARSHFIELD","WI","54449","VP - Operations","Foemmel","Sara","","1-715-221-9950","","","foemmel.sara@securityhealth.org","1515  Saint Joseph Avenue","","Marshfield","WI","54449","04/18/2025"
"SEEN HEALTH SAN GABRIEL VALLEY, LLC","Seen Health San Gabriel Valley, LLC","H4538","National PACE","National PACE","01/01/2025","For Profit","Seen Health San Gabriel Valley, LLC","San Francisco","34","1839 W. Valley Blvd","","Alhambra","CA","91803","","Sandoval","Patricia","","1-626-263-1263","","","cms-plan-directory-contact@seenhealth.org","548 Market St","PMB 76247","San Francisco","CA","94104","10/01/2024"
"SELECT HEALTH OF SOUTH CAROLINA, INC.","First Choice VIP Care (HMO D-SNP)","H4739","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Independence Health Group, Inc.","Chicago","261","4390 Belle Oaks Dr., Suite 400","","Charleston","SC","29405","","Services","Provider","","1-800-521-6007","","","VIPProviderComm@amerihealthcaritas.com","Amerihealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","02/12/2025"
"SELECT HEALTH OF SOUTH CAROLINA, INC.","FIRST CHOICE VIP CARE PLUS","H8213","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2015","For Profit","Independence Health Group, Inc.","Chicago","3,162","4930 Belle Oaks Drive","400","North Charleston","SC","294058561","","Services","Provider","","1-888-978-0862","","","VIPProviderComm@amerihealthcaritas.com","The AmeriHealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","05/28/2025"
"SELECTCARE OF TEXAS, INC.","Wellcare","H4506","Local CCP","HMO/HMOPOS","03/01/2001","For Profit","Centene Corporation","Denver","27,303","7700 Forsyth","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/20/2024"
"SELECTHEALTH, INC.","Select Health","H2246","Local CCP","Local PPO","01/01/2023","Not-for-Profit/Non-Profit","Intermountain Health Care, Inc.","Dallas","2,958","5381 S Green St","","Murray","UT","84123","Director of Medicare Prod","Holt","Kaleb","","1-801-442-7954","","","kaleb.holt@selecthealth.org","5381 S. Green Street","","Murray","UT","84123","05/29/2025"
"SELECTHEALTH, INC.","Select Health","H1994","Local CCP","HMO/HMOPOS","01/01/2013","Not-for-Profit/Non-Profit","Intermountain Health Care, Inc.","Dallas","64,782","5381 Green Street","","Murray","UT","84123","Director of Medicare Prod","Holt","Kaleb","","1-801-442-7954","","","kaleb.holt@selecthealth.org","5381 S. Green Street","","Murray","UT","84123","06/07/2024"
"SENIOR CARE CONNECTION, INC.","Eddy SeniorCare","H3322","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Trinity Health Corporation","New York","418","1938 Curry Road","","SCHENECTADY","NY","12303","Executive Director","Mazzacco","Michelle","","1-518-669-2694","","1-518-382-3398","Michelle.Mazzacco@sphp.com","1938 Curry Road","","Schenectady","NY","12303","09/20/2020"
"SENIOR LIFE ALTOONA, INC.","Senior LIFE Altoona / Ebensburg / Indiana","H5902","National PACE","National PACE","05/01/2011","For Profit","Senior LIFE Altoona, Inc.","Philadelphia","523","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR LIFE GREENSBURG, INC.","Senior LIFE Greensburg","H2937","National PACE","National PACE","02/01/2013","For Profit","Senior LIFE Greensburg, Inc.","Philadelphia","172","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR LIFE LEHIGH VALLEY, INC.","Senior LIFE Lehigh Valley / Reading","H5978","National PACE","National PACE","02/01/2009","For Profit","Senior LIFE Lehigh Valley, Inc.","Philadelphia","618","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR LIFE YORK, INC.","Senior LIFE York","H0819","National PACE","National PACE","05/01/2011","For Profit","Senior LIFE York, Inc.","Philadelphia","371","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR TOTAL LIFE CARE, INC.","Senior Total Life Care","H4235","National PACE","National PACE","01/01/2014","Not-for-Profit/Non-Profit","CaroMont Health, Inc.","Atlanta","315","1875 Remount Road","","Gastonia","NC","28054","Executive Director","Kenzig","Cathy","","1-704-874-0603","","","ckenzig@seniorTLC.org","1875 Remount Rd.","","Gastonia","NC","28054","04/11/2025"
"SENIOR WHOLE HEALTH OF NEW YORK, INC.","Senior Whole Health of New York","H5992","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Molina Healthcare, Inc.","New York","666","15 MetroTech Center, 11th Floor","","Brooklyn","NY","11201","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"SENIOR WHOLE HEALTH, LLC","Senior Whole Health","H2224","Local CCP","HMO/HMOPOS","08/01/2004","For Profit","Molina Healthcare, Inc.","New York","10,024","1075 Main Street, Suite 400","","Waltham","MA","02451","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","10/24/2024"
"SENIORLIFE WASHINGTON, INC.","Senior LIFE Washington / Uniontown / Greene","H2992","National PACE","National PACE","05/01/2011","For Profit","SeniorLife Washington, Inc.","Philadelphia","525","209 Sigma Drive","","Pittsburgh","PA","15238","Cheif Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENTARA HEALTH PLANS","Sentara Medicare","H2563","Local CCP","HMO/HMOPOS","01/01/2014","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Dallas","29,721","1300 Sentara Park","","Virginia Beach","VA","23464","Member Services","MEMBER SERVICES","OPTIMA","","1-800-927-6048","","","members@sentara.com","1300 Sentara Park","","Virginia Beach","VA","23464","02/11/2025"
"SENTARA HEALTH PLANS","Sentara Medicare","H4499","Local CCP","HMO/HMOPOS","01/01/2025","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Dallas","8,109","1300 Sentara Park","","Virginia","VA","23464","Member Services","MEMBER SERVICES","OPTIMA","","1-800-927-6048","","","members@sentara.com","1300 Sentara Park","","Virginia Beach","VA","23464","02/11/2025"
"SENTARA LIFE CARE CORPORATION, INC","Sentara PACE","H2941","National PACE","National PACE","11/01/2007","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Philadelphia","232","535 Independence Parkway","Suite 100","Chesapeake","VA","23320","Program Director","Wendell","Andrea","","1-757-252-7800","","1-757-382-4957","albaesen@sentara.com","5900 East Virginia Beach Blvd","Ste 260","Norfolk","VA","23502","02/03/2025"
"SENTARA MEDICARE ADVANTAGE OF NORTH CAROLINA INC","Sentara Medicare","H8823","Local CCP","HMO/HMOPOS","01/01/2025","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Dallas","*","1300 Sentara Park","","Virginia","VA","23464","Member Services","MEMBER SERVICES","OPTIMA","","1-800-927-6048","","","members@sentara.com","1300 Sentara Park","","Virginia Beach","VA","23464","05/28/2025"
"SEQUOIA PACE, LLC","WelbeHealth","H2384","National PACE","National PACE","07/01/2020","For Profit","WelbeHealth LLC.","San Francisco","710","1649 Van Ness Ave","","Fresno","CA","93721","","Grant","Alexsa","","1-650-336-0300","","","alexsa.grant@welbehealth.com","440 N BARRANCA AVE #4051","","COVINA","CA","91723","01/23/2023"
"SERENITY CARE, INC.","Serenity Care PACE","H0477","National PACE","National PACE","05/01/2014","Not-for-Profit/Non-Profit","Serenity Care, Inc.","New York","560","P.O.Box 2006","","Andover","MA","01810","","Tannery","Bob","","1-888-278-7000","","","sales@pharmastarpbm.com","P.O.Box","","Eau Claire","WI","54702","05/24/2022"
"SHARED HEALTH INSURANCE COMPANY","Shared Health Dual Freedom","H2096","Local CCP","Local PPO","01/01/2025","For Profit","BlueCross BlueShield of Tennessee","Chicago","*","1 Cameron Hill Cir","","Chattanooga","TN","37402","","Service","Customer","","1-877-258-3002","","","info@sharedhealth.com","1 Cameron Hill Circle","","Chattanooga","TN","37402","05/02/2025"
"SHARED HEALTH MISSISSIPPI, INC.","Shared Health Dual Freedom - DE H9946-001 (PPO D-SNP)","H9946","Local CCP","Local PPO","01/01/2024","For Profit","BlueCross BlueShield of Tennessee","Chicago","888","1 Cameron Hill Circle","","Chattanooga","TN","37402","","Service","Customer","","1-877-258-3002","","","info@sharedhealth.com","1 Cameron Hill Circle","","Chattanooga","TN","37402","05/30/2025"
"SHARED HEALTH MISSISSIPPI, INC.","Shared Health Dual Plus - DE H3015-001 (HMO D-SNP)","H3015","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","BlueCross BlueShield of Tennessee","Chicago","4,588","1 Cameron Hill Cir","","Chattanooga","TN","37402","","Service","Customer","","1-877-258-3002","","","info@sharedhealth.com","1 Cameron Hill Circle","","Chattanooga","TN","37402","05/30/2025"
"SHARP HEALTH PLAN","Sharp Health Plan","H5386","Local CCP","HMO/HMOPOS","01/01/2015","Not-for-Profit/Non-Profit","Sharp Healthcare","Boston","16,934","8520 Tech Way","Suite 201","San Diego","CA","921231450","Vice President and Chief","Pels-Beck","Leslie","","1-858-499-8244","","","Leslie.Pels-Beck@sharp.com","8520 Tech Way","Suite 201","San Diego","CA","92123-1450","06/01/2016"
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealthcare","H2001","Local CCP","Local PPO","08/01/2005","For Profit","UnitedHealth Group, Inc.","Boston","2,616,088","2720 N. Tenaya Way","","Las Vegas","NV","89128","","Customer Service","UHC","","1-800-643-4845","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","12/27/2024"
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealthcare","H5652","Local CCP","HMO/HMOPOS","09/01/2005","For Profit","UnitedHealth Group, Inc.","Boston","6,891","2720 N. Tenaya Way","","Las Vegas","NV","89128","","Customer Service","UHC","","1-866-314-8188","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","04/30/2024"
"SIGNATURE ADVANTAGE, LLC","Signature Advantage (HMO SNP)","H2400","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","BrightSpring Health Services, Inc.","Philadelphia","941","805 N Wihttington Parkway","","Louisville","KY","40222","CEO","Kennedy","Heather","","1-844-214-8633","711","","Heather.Kennedy@signatureadvantageplan.com","805 N Whittington Parkway","","Louisville","KY","40222","07/08/2024"
"SILVERSCRIPT INSURANCE COMPANY","Aetna Medicare","H2293","Local CCP","Local PPO","01/01/2023","For Profit","CVS Health Corporation","Atlanta","132,664","1021 Reams Fleming Boulevard","","Franklin","TN","37064","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/11/2022"
"SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.","H5471","Local CCP","HMO/HMOPOS","01/01/2012","For Profit","Elevance Health, Inc.","Chicago","52,644","9250 W. Flagler Street","Suite 600","Miami","FL","33174","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"SIMPRA ADVANTAGE, INC.","Simpra Advantage","H4091","Local CCP","Local PPO","01/01/2018","For Profit","Associated Care Ventures, Inc.","New York","2,952","3008 7th Avenue South","","Birmingham","AL","35233","","Services","Member","","1-844-637-4770","","","customerservice@simpra.com","PO Box 23607","","Tampa","FL","33623","01/29/2025"
"SIOUXLAND PACE, INC.","UnityPoint Health PACE Senior Care","H8424","National PACE","National PACE","08/01/2008","Not-for-Profit/Non-Profit","Iowa Health System","San Francisco","250","1200 Tri View Ave","","Sioux City","IA","51103","CEO","Swanstrom","Matt","","1-515-471-9702","","1-515-241-4238","matt.swanstrom@unitypoint.org","1776 Westlakes Pkwy","Suite 400","West Des Moines","IA","50266","05/08/2024"
"SOLIS HEALTH PLANS, INC.","Solis Health Plans","H0982","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Athena Healthcare Holdings, LLC","Chicago","12,968","9250 NW 36th Street","Suite 400","Miami","FL","33178","Provider Services Departm","Services","Provider","","1-833-615-9259","","","providerrelations@solishealthplans.com","9250 NW 36th Street","Suite 400","Miami","FL","33178","08/20/2019"
"SONDER HEALTH PLANS, INC.","Sonder Health Plans, Inc.","H4618","Local CCP","Local PPO","01/01/2025","For Profit","Avian Health Holdings, LLC","Atlanta","1,425","6190 Powers Ferry Road NW","Suite 320","Atlanta","GA","30339","Chief Operating Officer","Merritt","Charles","","1-470-765-2163","","","cmerritt@sonderhealthplans.com","6190 Powers Ferry Road","Suite 320","Atlanta","GA","30339","12/17/2024"
"SONDER HEALTH PLANS, INC.","Sonder Health Plans, Inc.","H1748","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Avian Health Holdings, LLC","Atlanta","20,222","6190 Powers Ferry Road","Suite 320","Atlanta","GA","30339","Chief Operating Officer","Merritt","Charles","","1-470-765-2163","","","cmerritt@sonderhealthplans.com","6190 Powers Ferry Road","Suite 320","Atlanta","GA","30339","04/05/2023"
"SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","H2419","Local CCP","HMO/HMOPOS","08/01/2005","Not-for-Profit/Non-Profit","South Country Health Alliance","Chicago","981","6380 West Frontage Road","","MEDFORD","MN","55049","Communications Manager","Gartner","Chris","","1-507-431-3021","","1-507-444-7774","cgartner@mnscha.org","South Country Health Alliance","6380 West Frontage Road","Medford","MN","55049","10/26/2021"
"SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","H5703","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","South Country Health Alliance","Chicago","471","6380 West Frontage Road","","Medford","MN","55049","Communications Manager","Gartner","Chris","","1-507-431-3021","","1-507-444-7774","cgartner@mnscha.org","South Country Health Alliance","6380 West Frontage Road","Medford","MN","55049","10/26/2021"
"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","H9042","Local CCP","Local PPO","01/01/2021","For Profit","SIHO Holding, Inc.","Chicago","3,514","417 Washington Street","","Columbus","IN","47201","Director of Provider Rela","Jones","Michelle","","1-812-378-7107","","","Michelle.Jones@siho.org","417 Washington Street","","Columbus","IN","47201","03/06/2024"
"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","H6529","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","SIHO Holding, Inc.","Chicago","1,313","417 Washington Street","","Columbus","IN","47201","Director of Provider Rela","Jones","Michelle","","1-812-378-7107","","","Michelle.Jones@siho.org","417 Washington Street","","Columbus","IN","47201","03/06/2024"
"STAYWELL SENIOR CARE, INC.","StayWell Senior Care","H1533","National PACE","National PACE","12/01/2014","Not-for-Profit/Non-Profit","American Healthcare Systems, LLC","Atlanta","77","809 Curry Dr.","","Asheboro","NC","27205","ED","Martin","Karen","","1-336-628-4210","","1-336-628-4235","karen.martin@amhealthsystems.com","809 Curry Dr.","","Asheboro","NC","27205","10/04/2023"
"STOCKTON PACE","WelbeHealth","H8082","National PACE","National PACE","01/01/2019","For Profit","WelbeHealth LLC.","San Francisco","915","582 E. Harding Way","","Stockton","CA","95204","","Grant","Alexsa","","1-650-336-0300","","","alexsa.grant@welbehealth.com","440 N BARRANCA AVE #4051","","COVINA","CA","91723","01/19/2023"
"STRATUM LIFE, LLC","Stratum LIFE","H7059","National PACE","National PACE","02/01/2025","Not-for-Profit/Non-Profit","Empath Health, Inc.","Atlanta","*","5955 Rand Blvd","","Sarasota","FL","34238","Interim program director","Mason","Michael","","1-941-248-1550","","","michaelmason@empathhealth.org","303 13th Ave E","","Bradenton","FL","34208","04/29/2025"
"SUMMACARE INC.","SummaCare Medicare Advantage Plans","H3660","Local CCP","HMO/HMOPOS","06/01/1996","Not-for-Profit/Non-Profit","Summa Health","Chicago","25,944","P. O. Box 3620","1200 E. Market Street, Suite 400","AKRON","OH","44309","Director of Contracting a","Stahler","Kurt","","1-330-996-8972","","","stahlerk@summacare.com","1200 East Main Street","Ste 400","Akron","OH","44305","03/11/2024"
"SUNCOAST PACE, INC.","Suncoast PACE, Inc.","H3430","National PACE","National PACE","09/01/2009","Not-for-Profit/Non-Profit","Empath Health, Inc.","Atlanta","294","5771 Roosevelt Blvd.","","Clearwater","FL","33760","Interim Program Director","Schulte","Komal","","1-813-651-2851","","1-813-441-8467","komalschulte@empathhealth.org","5771 Roosevelt Blvd","","Clearwater","FL","33760","04/29/2025"
